,producto,supermercado,cantidad_cambios
0,Oro Bailen Aceite De Oliva Virgen Extra Picual Botella 500 Ml,hipercor,25
1,Carbonell Aceite De Oliva Suave Garrafa De 5 L.,alcampo,18
2,Aceite De Oliva Intenso 1º La Masía Garrafa 5 L.,carrefour,14
3,Koipesol Aceite De Girasol  Garrafa De 5 L.,alcampo,13
4,Coosur Aceite De Oliva Virgen Extra Garrafa 5 L,hipercor,13
5,Aceite De Oliva Virgen Extra Ecológico Coosur 1 L.,carrefour,12
6,"Carbonell Aceite De Oliva Suave 0,4º Garrafa 3 L",hipercor,12
7,Carbonell Aceite De Oliva Suave Botella 1 L.,alcampo,12
8,Fuenroble Aceite De Oliva Virgen Extra Picual D.o. Sierra De Segura Botella 500 Ml,hipercor,12
9,Carbonell Aceite De Oliva Virgen Extra Garrafa 5 L,hipercor,12
